"","lon","lat"
"178",-80.2444331,25.7504182
"179",-82.6420771,27.7705596
"180",-81.4185268,26.4250271
"181",-80.2098163,25.9224811
"182",-81.6217915,30.2624359
"183",-81.410649,28.301567
"184",-81.4057742,28.5341852
"185",-82.5424722,27.3429529
"186",-82.3940066,28.021792
"187",-80.1726961,26.3691036
"188",-81.8969346,26.5554051
"189",-82.339605,29.66071
"190",-80.1018538,26.7143542
"191",-84.5224992,33.9558023
"192",-81.0963892,32.0268117
"193",-84.3819613,33.7566635
"194",-84.0243811,33.966259
"195",-157.8408502,21.2990797
"196",-156.4644334,20.8883051
"197",-93.6023004,41.5278496
"198",-93.7620225,41.6185348
"199",-95.8679292,41.2599618
"200",-91.3890792,40.4074143
"201",-93.6485275,41.6002113
"202",-92.4308533,42.5143297
"203",-93.6514993,42.0211527
"204",-90.4956244,41.5502656
"205",-91.6341145,42.0131449
"206",-96.35012,42.4796043
"207",-91.1069962,40.8143296
"208",-91.5410321,41.6493035
"209",-114.4703764,42.5574664
"210",-116.3678292,43.605279
"211",-116.2548891,43.6531204
"212",-87.6426428,41.6888663
"213",-87.6655661,41.9025148
"214",-87.6332964,41.9040499
"215",-88.952275,40.4959242
"216",-87.8546009,41.6265945
"217",-87.6249395,41.881467
"218",-89.59412,40.720703
"219",-88.2351709,40.113729
"220",-88.9743591,39.8771793
"221",-88.2392652,41.7581522
"222",-89.6477654,40.5659346
"223",-87.7738154,41.8945439
"224",-89.6872875,39.8086634
"225",-87.6639675,41.7832417
"226",-88.8420409,41.3459358
"227",-87.660187,41.997933
"228",-89.9856293,38.5706457
"229",-87.3376187,41.5913466
"230",-87.5286824,37.9792963
"231",-86.8939651,41.7019642
"232",-85.8514188,38.3150463
"233",-86.1874346,41.687754
"234",-124.0914444,40.9401824
"235",-93.2644623,36.6447262
"236",-86.1572187,39.8239384
"237",-85.1913917,41.0738133
"238",-86.5346067,39.1622197
"239",-85.9743683,41.681948
"240",-87.4806514,41.5836491
"241",-86.2417265,39.9102057
"242",-87.332607,41.4615047
"243",-86.143353,39.7078266
"244",-86.0022716,39.7727196
"245",-86.8331435,40.4046635
"246",-97.3094918,37.6938771
"247",-94.6367454,38.9310037
"248",-84.522579,38.0142077
"249",-85.764372,38.243369
"250",-91.1488568,30.4446134
"251",-90.1068248,29.9396124
"252",-71.122877,42.352616
"253",-72.612214,42.1257347
"254",-71.7978692,42.5828432
"255",-71.8181436,42.2631853
"256",-71.5460368,42.347401
"257",-77.033369,38.9982652
"258",-77.4056187,39.4421912
"259",-76.5624844,39.3929329
"260",-77.6243195,38.7809063
"261",-76.6200842,39.2937634
"262",-76.8816118,38.6138153
"263",-76.9216955,38.8504714
"264",-76.0823587,38.7842106
"265",-76.7482429,39.3968086
"266",-76.5092321,38.9761548
"267",-70.4584018,43.4940754
"268",-69.9644485,43.9223955
"269",-70.2587075,43.6580382
"270",-70.7764329,43.4404912
"271",-84.9705449,45.3639142
"272",-85.4843509,43.695879
"273",-85.5931465,44.7589076
"274",-86.4314167,42.0873789
"275",-87.3950919,46.5553652
"276",-84.43854,42.2471375
"277",-86.2385787,43.2339492
"278",-83.1374898,42.4656454
"279",-83.7786313,42.2776831
"280",-83.9685479,43.4779284
"281",-83.0281042,42.5094001
"282",-84.5074701,42.7363847
"283",-83.6991059,42.2552399
"284",-85.7250561,42.8983826
"285",-83.4141101,42.3626523
"286",-85.6410884,42.2765862
"287",-83.0641269,42.3507654
"288",-85.6581094,42.9597091
"289",-83.6336256,43.0124204
"290",-83.7458304,43.0160838
"291",-92.1136564,46.7995213
"292",-95.3772527,45.8799108
"293",-93.2948371,44.9496101
"294",-92.4808795,44.0316538
"295",-93.5499446,47.2357013
"296",-93.2068138,44.7266326
"297",-92.9323266,44.9240475
"298",-93.9709038,44.1648782
"299",-95.0127093,45.1243567
"300",-94.9061479,47.4931349
"301",-94.1503675,45.5661222
"302",-92.5531628,47.5183707
"303",-93.4292396,44.8528197
"304",-93.2845771,44.8841281
"305",-93.1895972,44.9617623
"306",-93.37051,45.0957117
"307",-96.7670717,46.8390407
"308",-93.1049041,45.0086231
"309",NA,NA
"310",-94.5738696,39.0414949
"311",-90.618019,38.792341
"312",-94.5451116,39.2033893
"313",-90.2436109,38.5958708
"314",-90.2511771,38.6371338
"315",-93.2875728,37.159498
"316",-94.5028422,37.0832869
"317",-92.3344913,38.9598713
"318",-94.4125163,39.0992256
"319",-90.302897,38.806372
"320",-89.3298854,31.3218199
"321",-108.4894072,45.827028
"322",-112.0576245,46.6027522
"323",-108.5636894,45.776482
"324",-111.29175,47.502733
"325",-113.9922788,46.8701148
"326",-78.6495047,35.7797627
"327",-78.9003264,36.0407972
"328",-79.8126275,36.0917494
"329",-79.0140503,35.9447049
"330",-77.9273311,34.2088337
"331",-80.2930663,36.0798629
"332",-78.9594443,35.0792668
"333",-80.766626,35.1990996
"334",-82.5538325,35.5821902
"335",-96.0553591,41.287605
"336",-96.6544618,40.7562775
"337",-70.9353221,42.9802729
"338",-72.3400687,43.367995
"339",-71.4631326,43.0016094
"340",-71.3234385,42.8814642
"341",-72.2812904,42.9342726
"342",-74.4836065,40.4770506
"343",-74.2135444,40.662831
"344",-74.3916497,40.3918185
"345",-74.4229223,40.6185068
"346",-74.4831412,40.8061247
"347",-74.7776976,40.2684339
"348",-74.637456,40.2210589
"349",-74.1710165,40.7305421
"350",-74.2164683,40.814916
"351",-74.447636,39.3539494
